"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0
"3",1,0,0,NA,NA,NA,NA,0,NA,0.666666666666667,0.666666666666667,0,NA,NA,0,NA,0,NA,NA,0,0,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,NA,1,0,NA,0,NA,NA,0,NA,0,0,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,1,0,0,0,NA,NA,NA,0.666666666666667,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,0
"4",1,0,0,NA,NA,NA,NA,0,NA,0.666666666666667,0.75,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,NA,0,0.666666666666667,0.666666666666667,0,NA,NA,NA,NA,NA,0,1,NA,NA,0.666666666666667,NA,NA,1,NA,NA,1,NA,0,0,0,NA,NA,NA,0.666666666666667,NA,NA,0,NA,1,NA,1,0.666666666666667,NA,0,0,NA,0,NA,0,1,NA,NA,1,0,NA,1,0,NA,0.666666666666667,NA,NA,0,NA,0,NA,NA,0,1,0,0,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0.666666666666667,0,0,NA,0.666666666666667,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0.666666666666667,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,NA,0,0,0.666666666666667,0,NA,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,0.5,NA,NA,0,0,1,0,0,0,0.25,0,NA,NA,0
"5",0,0.75,0.666666666666667,NA,NA,NA,NA,0,NA,0.5,0.75,NA,NA,0,1,NA,0,NA,0,0,0,0.666666666666667,0,NA,0,0.4,2.4,0.666666666666667,NA,NA,NA,NA,NA,0,0.666666666666667,NA,NA,0,NA,1,0,0,NA,1.5,NA,0,0,1,0,NA,NA,1.5,NA,0,0,NA,1,NA,1,0,NA,0,0,NA,0.666666666666667,NA,0,0.666666666666667,NA,0,0,0,NA,1.33333333333333,0,NA,0.666666666666667,NA,NA,0,NA,0,NA,NA,0,1,0,0,0,0,1,1,1,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,2.4,0,0,NA,0.666666666666667,0,NA,0,0,NA,0,0.5,0,0,NA,NA,NA,NA,NA,NA,1,0,0.666666666666667,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,1,0.8,0,NA,0,0,1.5,0.666666666666667,0,NA,0.666666666666667,NA,NA,NA,1,0,NA,0.666666666666667,NA,NA,NA,NA,0,0,0,0,0.666666666666667,NA,NA,0,NA,0,NA,1,NA,NA,0,0,1,0,0.666666666666667,0,0.4,0,NA,NA,0
"6",0,0.75,0.666666666666667,NA,NA,NA,NA,0,NA,0.5,0.75,NA,NA,0.25,1,NA,0,NA,0,0,0,0.666666666666667,0.666666666666667,0,0,0.6,2.33333333333333,0.666666666666667,NA,0,NA,0,NA,0,0.666666666666667,0,NA,0,0,1,0,0,NA,1,NA,0,0,1,0,0,NA,1.5,NA,0,0.5,0,1,NA,1,0,NA,0,0,NA,0.5,0,0,1,NA,0,0,0,NA,1.33333333333333,0,NA,1,NA,NA,0,NA,0,NA,NA,0.666666666666667,1,0,0,0,0,1,1,1,0,NA,0.333333333333333,0,NA,0,NA,NA,NA,NA,NA,NA,0,1.33333333333333,0.666666666666667,0,0,0.666666666666667,0.666666666666667,NA,0,0,0,0,0.5,0,0,NA,0,NA,NA,NA,NA,1,0,0.666666666666667,NA,1,NA,0,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,0,NA,0,NA,0,NA,0,0.833333333333333,0,0,NA,0,1,1,0,0,0,0,0.666666666666667,0.666666666666667,0,NA,0.666666666666667,NA,NA,0,0.666666666666667,0.666666666666667,NA,0.666666666666667,NA,NA,0,NA,0,0.666666666666667,0,0,0.666666666666667,NA,0,0,0,0,0,1,NA,NA,0,0,1.66666666666667,0,0,0,0.4,0,NA,NA,0.6
"7",0,0.75,0.666666666666667,0,0,NA,NA,0,0,0.5,1,NA,0,0.333333333333333,1,NA,0,1,0,0,0,1,0.666666666666667,0,0.75,0.6,2.33333333333333,0.5,NA,NA,NA,NA,NA,0,0.666666666666667,0,0,0,NA,NA,0,0,NA,1,NA,0,0,0.833333333333333,0,0.666666666666667,NA,2,NA,1,0.8,0,1,NA,1,0,NA,0.333333333333333,1,NA,0,0,0,1.8,NA,0,0.666666666666667,0,0,1.33333333333333,0,NA,1.16666666666667,0,NA,0,0,1,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0,0,NA,NA,1,0,0,0.333333333333333,0,0,0,NA,NA,NA,NA,1,NA,0.5,1.33333333333333,1,0,0,0.4,0.666666666666667,0,0,0.333333333333333,NA,0,1,0,0,NA,0,NA,NA,NA,0,1,0,1,NA,1,NA,0.666666666666667,NA,NA,NA,0,0.666666666666667,0,NA,0,0.666666666666667,0,0.25,NA,0,NA,0.666666666666667,0.571428571428571,0,0,NA,0,2,1.42857142857143,0,0,0,0,0.666666666666667,0.5,0,NA,0,NA,NA,0,0.666666666666667,0,NA,0.666666666666667,NA,NA,0,NA,0,0.666666666666667,0,0,0.5,NA,0,0,0,0,0,1,NA,NA,0.25,0,0.5,0,0,0,0.666666666666667,0,NA,0,0.833333333333333
"8",0,1.4,1,0,0,NA,0,0,0,0.5,1,NA,0,0.333333333333333,1,NA,0,1,0,0,0,1,0.666666666666667,0,1.2,1.71428571428571,3.875,0.666666666666667,NA,0,NA,NA,NA,0,0.5,0,0,0,NA,1,0,0,NA,1,NA,0,0,0.833333333333333,0,0.666666666666667,NA,2,0,1,0.8,0,1,NA,0.666666666666667,0.4,NA,0.333333333333333,1,0,0.333333333333333,0,0.5,1,NA,0,0.5,0,NA,1.33333333333333,0,NA,1.2,0,1,0,0,1.5,0,1,0.666666666666667,0.666666666666667,1.5,0.8,NA,0,NA,NA,1,0,0,0.333333333333333,0,0,0.666666666666667,NA,NA,NA,NA,1,NA,0.666666666666667,1.57142857142857,1.33333333333333,0.4,0,0.333333333333333,1.75,0,0,0.333333333333333,NA,0,0.833333333333333,NA,0.4,NA,0,NA,0,NA,0,1,0.666666666666667,1.33333333333333,NA,1,NA,0.5,NA,NA,0,0,1,0,0,0,0.666666666666667,0,0.857142857142857,NA,0.666666666666667,NA,0.25,1.33333333333333,0,0,0,NA,2,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0,0.5,1,0,NA,0,NA,NA,0,0.5,0,NA,1,NA,NA,0,NA,0,0.666666666666667,0,0,1.57142857142857,NA,0,0,0,0,NA,1,NA,NA,0,0,0.5,0,0,0.666666666666667,0.4,0.6,NA,1.5,0.857142857142857
"9",0,0.5,1,0,0,NA,0,0,0.666666666666667,0.4,1,NA,0,0.666666666666667,0.666666666666667,NA,0,NA,0,0,0,0.333333333333333,0.5,0,2.33333333333333,2,4.33333333333333,0,NA,0.666666666666667,NA,NA,NA,0.666666666666667,1,0.666666666666667,0.5,0,0,0,0.5,0,0,1.2,NA,0,0,0.833333333333333,0,0,NA,2,0,1,0.8,NA,0.75,0,0.666666666666667,0,NA,0.333333333333333,0,0,0.333333333333333,0,1,1,NA,0,0.5,0,NA,3.2,0.5,NA,1.2,0,1,0.5,0.666666666666667,1.5,0,1,1.5,0.666666666666667,0.666666666666667,0.4,NA,0,NA,NA,0,0,0,0.333333333333333,0,0,0.75,NA,NA,0,NA,1,NA,0.666666666666667,1.57142857142857,1,0.4,0,0.333333333333333,2.7,0.666666666666667,0.666666666666667,0.333333333333333,0,0.5,1,0,0.4,NA,0,0,0,NA,0,0.666666666666667,1,1.33333333333333,NA,1,NA,0.8,NA,0,0,0,1.2,0,NA,0.333333333333333,0.5,0,0.5,NA,1.6,NA,0.25,1.33333333333333,0,0,0,NA,2,1.375,0.5,0.333333333333333,1,0.4,0.666666666666667,2,0,NA,0.6,0,NA,0.8,0.5,0.666666666666667,NA,1,0,NA,0,NA,0,0,0,1,1.57142857142857,NA,0,0,0,0,NA,1.25,0,NA,0,0,0.5,0,0,0.666666666666667,0.4,1.14285714285714,NA,1.2,1.375
"10",0,0.666666666666667,1,0,0,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,1,NA,NA,0,0.666666666666667,NA,NA,NA,0.666666666666667,1,0,0.333333333333333,0.6,0,1.6,1.66666666666667,3.5,0,NA,1,NA,NA,NA,0.666666666666667,1,0.666666666666667,0,0,0,0,0.75,0,0,2.66666666666667,NA,0,NA,0.833333333333333,0.8,0,NA,1.5,0,2,0.666666666666667,NA,0.75,0,0.5,0,NA,0.333333333333333,0,0,0.25,0,1.2,0.666666666666667,NA,0,1.5,NA,NA,3.33333333333333,0.6,NA,1.5,0.666666666666667,1,0.5,0.666666666666667,0.666666666666667,0.666666666666667,1,1.2,1,0.6,1.14285714285714,NA,0,NA,NA,0,0.666666666666667,NA,0.666666666666667,0,NA,0.75,NA,NA,0.5,NA,1,0,1.5,2.25,0.75,0.333333333333333,0,0.857142857142857,2.8,0,0.666666666666667,0.333333333333333,0,0.5,1.66666666666667,0,0.4,NA,0,0,0,NA,0,0.75,0.8,1.33333333333333,0,1,NA,0.5,NA,0.5,1,0,2,0,NA,1,0.8,0,0.5,NA,1.6,NA,0.6,2.61538461538462,0,0,0,0,2,1.55555555555556,0.5,0.333333333333333,1.4,0.666666666666667,0.666666666666667,2,0,NA,0.6,0,NA,0.5,0.5,2.66666666666667,NA,1,NA,NA,0,NA,0.333333333333333,0,0.666666666666667,1,3.54545454545455,0,0,0.5,0,0,NA,1.25,0,NA,0,0,0.5,0,0,1,0.666666666666667,0.857142857142857,NA,1.33333333333333,1.33333333333333
